report_code,fight_id,fight_name,encounter_id,fight_result,duration_seconds,report_date,difficulty,raid_size,player_count,fight_start_timestamp,attempt_number
1Pwx2hQvg7cDZbC9,15,Nek'zali the Soulcoiler,3470,KILL,316.526,2026-09-08,3.0,19.0,19,3322276.0,1
1Pwx2hQvg7cDZbC9,21,Entombed Sentinels,3445,KILL,337.438,2026-09-08,3.0,19.0,19,4155814.0,1
1Pwx2hQvg7cDZbC9,24,Vashnik the Malignant,3455,KILL,253.413,2026-09-08,3.0,19.0,19,4849407.0,1
1Pwx2hQvg7cDZbC9,29,The Lost Explorers,3497,KILL,251.875,2026-09-08,3.0,21.0,21,5809650.0,1
1Pwx2hQvg7cDZbC9,33,Sszorak,3420,KILL,308.454,2026-09-08,3.0,20.0,20,6515635.0,1
1Pwx2hQvg7cDZbC9,35,The Twin Fangs,3421,WIPE,45.831,2026-09-08,3.0,20.0,20,6959990.0,1
1Pwx2hQvg7cDZbC9,36,The Twin Fangs,3421,KILL,453.083,2026-09-08,3.0,20.0,20,7111275.0,2
1Pwx2hQvg7cDZbC9,41,The Coiled Altar,3429,WIPE,458.036,2026-09-08,3.0,18.0,18,8001641.0,1
1Pwx2hQvg7cDZbC9,42,The Coiled Altar,3429,KILL,378.559,2026-09-08,3.0,16.0,16,8822086.0,2
1Pwx2hQvg7cDZbC9,43,Ula'tek,3492,WIPE,115.01,2026-09-08,3.0,17.0,17,9573031.0,1
1aJTBNphf8C4jGbr,7,Vorasius,3177,KILL,280.03,2026-04-14,4.0,20.0,20,612825.0,1
1aJTBNphf8C4jGbr,12,Fallen-King Salhadaar,3179,KILL,345.592,2026-04-14,4.0,20.0,20,1451426.0,1
1aJTBNphf8C4jGbr,15,Vaelgor & Ezzorak,3178,WIPE,44.033,2026-04-14,4.0,20.0,20,2143230.0,1
1aJTBNphf8C4jGbr,16,Vaelgor & Ezzorak,3178,WIPE,229.285,2026-04-14,4.0,20.0,20,2306907.0,2
1aJTBNphf8C4jGbr,17,Vaelgor & Ezzorak,3178,KILL,484.874,2026-04-14,4.0,20.0,20,3412280.0,3
1aJTBNphf8C4jGbr,21,Lightblinded Vanguard,3180,WIPE,102.921,2026-04-14,4.0,20.0,20,4224516.0,1
1aJTBNphf8C4jGbr,22,Lightblinded Vanguard,3180,WIPE,165.25,2026-04-14,4.0,20.0,20,4439352.0,2
1aJTBNphf8C4jGbr,23,Lightblinded Vanguard,3180,WIPE,96.777,2026-04-14,4.0,20.0,20,4752201.0,3
2Hn6qhfTFaYytXrD,2,Nek'zali the Soulcoiler,3470,KILL,284.902,2026-08-29,1.0,24.0,25,134611.0,1
2Hn6qhfTFaYytXrD,7,The Twin Fangs,3421,WIPE,220.194,2026-08-29,1.0,25.0,25,710515.0,2
2Hn6qhfTFaYytXrD,8,The Twin Fangs,3421,KILL,457.92,2026-08-29,1.0,25.0,25,1039181.0,1
31PjbgTG8KDC9JBh,1,Lightblinded Vanguard,3180,KILL,251.418,2026-06-23,4.0,15.0,15,309628.0,1
31PjbgTG8KDC9JBh,3,Crown of the Cosmos,3181,WIPE,31.645,2026-06-23,4.0,15.0,15,671677.0,3
31PjbgTG8KDC9JBh,4,Crown of the Cosmos,3181,WIPE,555.21,2026-06-23,4.0,15.0,15,1007564.0,1
31PjbgTG8KDC9JBh,5,Crown of the Cosmos,3181,KILL,472.34,2026-06-23,4.0,16.0,16,1744066.0,2
3VrDYLzQHKtTyAFX,1,Rotmire,3159,WIPE,168.884,2026-06-24,4.0,16.0,16,361773.0,1
3VrDYLzQHKtTyAFX,3,Rotmire,3159,KILL,378.487,2026-06-24,4.0,16.0,16,618996.0,2
3gymwM9c2Av4Xk6r,1,Lightblinded Vanguard,3180,WIPE,149.713,2026-04-15,4.0,20.0,20,766350.0,3
3gymwM9c2Av4Xk6r,2,Lightblinded Vanguard,3180,WIPE,142.855,2026-04-15,4.0,20.0,20,1137470.0,1
3gymwM9c2Av4Xk6r,3,Lightblinded Vanguard,3180,KILL,331.271,2026-04-15,4.0,20.0,20,1411522.0,2
3gymwM9c2Av4Xk6r,4,Crown of the Cosmos,3181,WIPE,82.685,2026-04-15,4.0,20.0,20,2596843.0,1
3gymwM9c2Av4Xk6r,6,Crown of the Cosmos,3181,WIPE,85.565,2026-04-15,4.0,20.0,20,2916398.0,2
3gymwM9c2Av4Xk6r,8,Crown of the Cosmos,3181,WIPE,153.084,2026-04-15,4.0,20.0,20,3114496.0,3
3gymwM9c2Av4Xk6r,9,Crown of the Cosmos,3181,WIPE,215.437,2026-04-15,4.0,20.0,20,3389932.0,4
3gymwM9c2Av4Xk6r,10,Crown of the Cosmos,3181,WIPE,253.844,2026-04-15,4.0,20.0,20,3718237.0,5
3gymwM9c2Av4Xk6r,11,Crown of the Cosmos,3181,WIPE,193.938,2026-04-15,4.0,20.0,20,4249622.0,6
3gymwM9c2Av4Xk6r,12,Crown of the Cosmos,3181,WIPE,145.015,2026-04-15,4.0,20.0,20,4544205.0,7
3gymwM9c2Av4Xk6r,13,Crown of the Cosmos,3181,WIPE,111.826,2026-04-15,4.0,21.0,21,5354215.0,8
3gymwM9c2Av4Xk6r,14,Crown of the Cosmos,3181,WIPE,247.038,2026-04-15,4.0,21.0,21,5654042.0,9
3gymwM9c2Av4Xk6r,15,Crown of the Cosmos,3181,WIPE,261.389,2026-04-15,4.0,21.0,21,6007593.0,10
3gymwM9c2Av4Xk6r,16,Crown of the Cosmos,3181,WIPE,297.297,2026-04-15,4.0,21.0,21,6473948.0,11
3gymwM9c2Av4Xk6r,17,Crown of the Cosmos,3181,WIPE,273.276,2026-04-15,4.0,20.0,20,6930898.0,12
7fgDKpMGWzkq8Hbm,3,"Chimaerus, the Undreamt God",3306,WIPE,338.897,2026-04-01,4.0,18.0,18,514026.0,8
7fgDKpMGWzkq8Hbm,4,"Chimaerus, the Undreamt God",3306,WIPE,369.182,2026-04-01,4.0,18.0,18,950834.0,11
7fgDKpMGWzkq8Hbm,5,"Chimaerus, the Undreamt God",3306,WIPE,88.222,2026-04-01,4.0,19.0,19,1512751.0,1
7fgDKpMGWzkq8Hbm,6,"Chimaerus, the Undreamt God",3306,WIPE,581.159,2026-04-01,4.0,19.0,19,1689925.0,2
7fgDKpMGWzkq8Hbm,7,"Chimaerus, the Undreamt God",3306,WIPE,534.365,2026-04-01,4.0,19.0,19,2362916.0,3
7fgDKpMGWzkq8Hbm,8,"Chimaerus, the Undreamt God",3306,WIPE,593.1,2026-04-01,4.0,19.0,19,3061198.0,4
7fgDKpMGWzkq8Hbm,9,"Chimaerus, the Undreamt God",3306,WIPE,406.204,2026-04-01,4.0,19.0,19,4275759.0,5
7fgDKpMGWzkq8Hbm,10,"Chimaerus, the Undreamt God",3306,WIPE,148.916,2026-04-01,4.0,19.0,19,4823368.0,6
7fgDKpMGWzkq8Hbm,11,"Chimaerus, the Undreamt God",3306,WIPE,138.131,2026-04-01,4.0,19.0,19,5127584.0,7
7fgDKpMGWzkq8Hbm,12,"Chimaerus, the Undreamt God",3306,WIPE,399.812,2026-04-01,4.0,19.0,19,5347643.0,9
