report_code,report_date,fight_id,fight_name,encounter_id,fight_result,duration_seconds,fight_start_timestamp,difficulty,raid_size,player_name,player_id,warcraft_logs_source_id,class,spec,role,item_level,damage_done,damage_done_reduced,damage_per_second,damage_active_time_seconds,damage_active_time_percent,damage_taken,damage_taken_reduced,damage_taken_per_second,damage_taken_active_time_seconds,healing_done,healing_done_reduced,healing_per_second,overhealing,healing_active_time_seconds,healing_received,healing_received_reduced,healing_received_per_second,cast_count,casts_per_minute,death_count,interrupt_count,dispel_count,attempt_number,active_time_ms,active_time_seconds,active_time_percent,player_count
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Benzd,P-a077801d1f846742,148,Druid,Balance,DPS,310.0,36035484.0,34079011.0,113846.837,315.481,99.67,6869314.0,6442126.0,21702.211,285.421,174775.0,0.0,552.166,0.0,0.0,3175123.0,2268809.0,10031.16,178,33.741,0,0,0,1,315481.0,315.481,99.67,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Chontosh,P-81cad9c290ac9716,104,Paladin,Holy,Healer,307.0,1207427.0,0.0,3814.622,177.562,56.1,7095405.0,5368282.0,22416.5,285.409,38236989.0,27545781.0,120802.048,56867130.0,316.162,3789101.0,3730714.0,11970.9,192,36.395,0,0,7,1,177562.0,177.562,56.1,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Demonvini,P-d7a10f6ccf5cf6da,96,DemonHunter,Vengeance,Tank,314.0,12747856.0,0.0,40274.278,299.427,94.6,11730421.0,8868460.0,37059.897,258.905,5282520.0,3752080.0,16689.056,7155838.0,292.824,8700312.0,6638655.0,27486.879,163,30.898,1,0,0,1,299427.0,299.427,94.6,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Dshivà,P-c1f562d9a0fa7104,97,Paladin,Retribution,DPS,318.0,41627323.0,0.0,131513.124,314.97,99.51,6599926.0,5521330.0,20851.134,227.005,2366114.0,1650806.0,7475.26,1187750.0,313.995,1807975.0,1092667.0,5711.932,352,66.724,0,0,0,1,314970.0,314.97,99.51,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Felphantomxx,P-421b6dd3909d6bc1,107,DemonHunter,Devourer,DPS,300.0,29461052.0,0.0,93076.247,314.298,99.3,5906999.0,5267802.0,18661.971,296.087,2928786.0,2830466.0,9252.908,6701506.0,313.149,2939057.0,2830466.0,9285.357,140,26.538,0,0,0,1,314298.0,314.298,99.3,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Khaztharion,P-2109859b4c408483,106,Evoker,Devastation,DPS,296.0,25797307.0,24913191.0,81501.384,314.981,99.51,7728650.0,6428926.0,24417.109,279.016,582378.0,0.0,1839.906,542663.0,260.465,5322802.0,1772228.0,16816.318,181,34.31,0,0,0,1,314981.0,314.981,99.51,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Lightbrood,P-d8fa4f1a84c7e14c,102,Paladin,Retribution,DPS,297.0,22521588.0,0.0,71152.411,300.395,94.9,6804856.0,5161078.0,21498.569,259.349,2371663.0,1215540.0,7492.79,1328764.0,312.973,1899885.0,700397.0,6002.303,364,68.999,0,0,0,1,300395.0,300.395,94.9,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Mydrood,P-71a55fed3a6d81f1,103,Druid,Balance,DPS,303.0,36043939.0,35139378.0,113873.549,316.115,99.87,6831466.0,5920970.0,21582.638,252.261,623034.0,389822.0,1968.35,110599.0,46.572,2580163.0,389822.0,8151.504,217,41.134,0,1,0,1,316115.0,316.115,99.87,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Mârtirio,P-33f7de3f76a79e7e,93,Priest,Holy,Healer,303.0,507220.0,0.0,1602.459,0.0,0.0,5566858.0,5244621.0,17587.364,252.263,35784138.0,34698911.0,113052.76,43135586.0,315.846,2916610.0,0.0,9214.441,154,29.192,0,0,5,1,0.0,0.0,0.0,19
1Pwx2hQvg7cDZbC9,2026-09-08,15,Nek'zali the Soulcoiler,3470,KILL,316.526,3322276.0,3.0,19.0,Quetzalli,P-7bba87320072e411,113,Monk,Windwalker,DPS,292.0,23808663.0,0.0,75218.665,302.235,95.49,6993682.0,5257313.0,22095.126,258.79,1468163.0,380249.0,4638.365,667342.0,283.478,1523791.0,380249.0,4814.11,174,32.983,0,0,0,1,302235.0,302.235,95.49,19
